approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
091610001200,Meilinger Vieh- und Fleischhandel GmbH,Scheelestr. 16,Ingolstadt,85053,"Ingolstadt,Upper Bavaria,Bavaria",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BY-EZ 308,Meindl Metzgerei GmbH,Alte Weidinger Straße 2,Schönsee,92539,"Landkreis Schwandorf,Upper Palatinate,Bavaria",Germany,RM,CP,N,bovine equine porcine ovine caprine,CP - Cutting Plant,,
DE BY-ES 308 EG,Meindl Viehhandels GmbH,Alte Weidinger Straße 2,Schönsee,92539,"Landkreis Schwandorf,Upper Palatinate,Bavaria",Germany,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
DE 08 336 079 0056,Meratat Food GmbH,Tunauer Str. 11,Schönau im Schwarzwald,79677,"Landkreis Lörrach,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE BW 01052 EG,Metzgerei Andreas Heußler,Kammerweg 7,Dettingen am Albuch,89547,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE SL 90006,Metzgerei Bastuck,Koblenzer Straße 90,Lebach,66822,"Landkreis Saarlouis,Saarland",Germany,RM,SH,Y,caprine ovine porcine bovine,SH - Slaughterhouse,,
DE BW 13024 EG,Metzgerei Baurschmid,Schulstr. 12,Dischingen,89561,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE BW 13020 EG,Metzgerei Bayer,Nördlinger Str. 93,Dischingen,89561,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE BW 13028 EG,Metzgerei Bosch,Karlstr. 14,Hermaringen,89568,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
VO-853/2004-DE BW-07019,Metzgerei Frick GmbH,Bahnhofstr. 13,Krauchenwies,72505,"Landkreis Sigmaringen,Regierungsbezirk Tübingen,Baden-Württemberg",Germany,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
DE BW 13052 EG,Metzgerei Gröner,Götzenbrunnenstr. 6,Hermaringen,89568,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE SL 90003,Metzgerei Göller GmbH,Seelbacher Straße 16,Blieskastel,66440,"Saarpfalz-Kreis,Saarland",Germany,RM,SH,Y,caprine ovine bovine,SH - Slaughterhouse,,
DE BY 30284 EG,Metzgerei Günther Härtl,Klenauer Weg 2,Tirschenreuth,95643,"Landkreis Tirschenreuth,Upper Palatinate,Bavaria",Germany,RM,CP,N,bovine porcine,CP - Cutting Plant,,
DE BY 30587 EG,Metzgerei Hellerbrand,Birkertweg 2,Freudenberg,92272,"Landkreis Amberg-Sulzbach,Upper Palatinate,Bavaria",Germany,RM,CP SH,Y,bovine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
DE BY 30193 EG,Metzgerei Herbert Emmer,Hauptstr.18,Treffelstein,93492,"Landkreis Cham,Upper Palatinate,Bavaria",Germany,RM,CP SH,Y,bovine ovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
BW 01030,Metzgerei Häfele GmbH,Hauptstraße 50,Ilsfeld,74360,"Landkreis Heilbronn,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
DE BW 13050 EG,Metzgerei Illenberge,Wedelstr. 15,Herbrechtingen,89542,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BW 54002 EG,Metzgerei Keck GbR,Rheinwaldstraße 24,Kehl,77694,"Ortenaukreis,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE BY 10776,Metzgerei Magnus Bauch,Thalkirchner Straße 61-65,Munich,80337,"Munich,Upper Bavaria,Bavaria",Germany,RM,CP,N,,CP - Cutting Plant,,
