approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 14186,VARNSDORFSKÉ UZENINY s.r.o.,"Východní 1360, 40747 Varnsdorf",Varnsdorf,40752,"Ústecký kraj,Northwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 62920380,VELKÁ PECKA s.r.o.,"Kaštanová 520/141a, Horní Heršpice, 61700 Brno",00 Brno,617,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 4652,"VK - maso, s.r.o.",Ladova 147,Budyně nad Ohří,41118,"Ústecký kraj,Northwest",Czechia,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
CZ 207,"VLAMA, spol.s r.o.","Legerova 485/54, 120 00 Praha 2 - Vinohrady",Praha 614,16100,"Capital City of Prague,Prague",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 107,"Vimperská masna, a.s.","Špidrova 84, Vimperk III, 38501 Vimperk",01 Vimperk,385,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 342,VÁHALA a spol. s r.o. výroba a prodej masných a lahůdkářských výrobků,"Pod Humny 308, 753 66 Hustopeče nad Bečvou",Hustopeče nad Bečvou,75366,"Olomouc Region,Central Moravia",Czechia,RM,CP,N,porcine bovine,CP - Cutting Plant,,
CZ 386,VÁŠA spol. s r.o.,"Potoční čp. 2, 471 24 Mimoň",Mimoň,47124,"Liberecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 205,VÚVeL - experimentální porážka,Hudcova 296/70,00 Brno,621,"Jihomoravský kraj,Southeast",Czechia,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 21920723,Václav Vilímovský,Vlašimská 276,Trhový Štěpánov,25763,"Středočeský kraj,Central Bohemia",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 11910002,"Výzkumný ústav živočišné výroby, v. v. i.","Přátelství 342/132, Uhříněves, Praha 10",00 Prague,104,"Capital City of Prague,Prague",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 31740274,WSmeat s.r.o.,"Střížovická 251, 37862 Kunžak",Kunžak,37862,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 2102,ZEFA Volary s.r.o.,"Volary, 38451 Volary",51 Volary,384,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 5132,ZEPO Bohuslavice a.s,Bohuslavice č. p. 67,Bohuslavice,54906,"Královéhradecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 170,"ZEPO Bořitov, družstvo","Úvoz 326, 67921 Bořitov",Bořitov,67921,"Jihomoravský kraj,Southeast",Czechia,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 1109,"ZEZULA.CZ, s.r.o.","Rudíkov č. p. 247, 67505 Rudíkov",Vlčatín,67505,"Kraj Vysočina,Southeast",Czechia,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
CZ 515,"ZP Hospříz, a.s.","Hospříz č. p. 62, 37701 Hospříz",01 Jindřichův Hradec,377,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 6103,Zdeněk Žůrek,"Rybáře 56, 69154 Týnec",Týnec,69154,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 1154,"Zemědělsko-obchodní družstvo Žichlínek, provozovna Jatka Lanškroun","Dukelských hrdinů 359, Žichlínské Předměstí, 56301 Lanškroun",Lanškroun,56301,"Pardubický kraj,Northeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ31940333,Zemědělské družstvo Bělčice,"Blatenská 296, 38743 Bělčice",Bělčice,38743,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 14537,Zemědělské družstvo Jindřichův Hradec,"Jindřichův Hradec, 37701 Jindřichův Hradec",01 Jindřichův Hradec,377,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 859,Zemědělské družstvo Kokory,"Brodek u Přerova, Štefánikova ul., 751 03 Brodek u Přerova",Brodek u Přerova,75103,"Olomouc Region,Central Moravia",Czechia,RM,CP SH,Y,porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 513,Zemědělské družstvo Pluhův Žďár,"Pluhův Žďár č. p. 59, 37824 Pluhův Žďár",Pluhův Žďár,37824,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 510,Zemědělské družstvo RADELO,"Velký Ratmírov, 37701 Velký Ratmírov",01 Jindřichův Hradec,377,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 2034,Zemědělské družstvo Roprachtice,Roprachtice 13,Semily,51301,"Liberecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 403,Zemědělské družstvo Rosice u Chrasti,"Synčany, 53862 Rosice",Rosice,53834,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 272,ZÁTOR - AGROZAT s.r.o.,Světlá 331,Světlá Hora,79331,"Moravskoslezský kraj,Moravia-Silesia",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 41920062,ing. Dušan Michálek,"Sokolovská 1036/124e, Rybáře, 36005 Karlovy Vary",01 Carlsbad,360,"Karlovarský kraj,Northwest",Czechia,RM,CP,N,caprine ovine,CP - Cutting Plant,,
CZ 72920369,jurez s.r.o.,Strabenice 62,Strabenice,76813,"Zlínský kraj,Central Moravia",Czechia,RM,CP,N,,CP - Cutting Plant,,
