approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
6005,Sæby Gårdslagteri I/S,Aalborgvej 108,Sæby,9300,"Frederikshavn Municipality,North Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
6575,"Søgaard Kød, slagteri",Ørstedvej 35,Sommersted,6560,"Haderslev Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4504,Tayyib Food ApS,Hassellunden 118,Smørumovre,2765,"Egedal Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5519,Tayyib Meat ApS,Matildevej 6,Slagelse,4200,"Slagelse Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
338,Tican Fresh Meat A/S,Strandvejen 6,Thisted,7700,"Thisted Municipality,North Denmark Region",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
801,Tican Fresh Meat A/S,Markedsvej 9,Brørup,6650,"Vejen Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
1242,Tim Køier Andersen,Skovbovej 1B,Næstved,4700,"Naestved Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
5355,Tistrup Slagtehus ApS,Frejasvej 13,Tistrup,6862,"Varde Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5910,"Toftnæs Slagtehus, Slagteri",Toftnæsvej 30,Varde,6800,"Varde Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2219,Tofts Røgeri,Hasselvej 2A,Stege,4780,"Vordingborg Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
1424,Tved Slagtehus,Tved Bygade 36,Knebel Bro,8420,"Syddjurs Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1460,"Tylstrup Slagtehus, v/Bo Frederiksen",Luneborgvej 69,Tylstrup,9382,"Aalborg Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1433,"Tårs Slagtehus, v/Anders Muhlig",Bredgade 61,Tårs,9830,"Hjørring Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
386,UCHolstebro (Slagterfagskolen),Døesvej 5,Holstebro,7500,"Holstebro Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
4363,Ulfborg Slagteri,Industriarealet 40,Ulfborg,6990,"Holstebro Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4771,Uni Catering ApS,Engmarken 6,Brabrand,8220,"Aarhus Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
5762,"V.Åby Slagterforretning, slagteri, Slagteri",Svendborgvej 412,Faaborg,5600,"Faaborg-Midtfyn Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5437,"Vedersø Vildt, Slagteri",Industriarealet 14,Ulfborg,6990,"Holstebro Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
1340,"Vester Hæsinge Slagterforretning ApS, Slagteri og kødprodukter",Birkevej 37,Broby,5672,"Faaborg-Midtfyn Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
5385,Vivaldi Catering A/S,Sorøvej 82,Slagelse,4200,"Slagelse Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
6525,Webgrisen,Trafikcenter Sæby Syd 2,Sæby,9300,"Frederikshavn Municipality,North Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
4455,"Welfare Food A/S, Slagteri",Fællesvirke 7,Holsted,6670,"Vejen Municipality,Region of Southern Denmark",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
dkjsdbfgkmjsbdf,fbvbv,fwewe,Roskilde,4000,"Roskilde Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
34,Århus Slagtehus A/S,Svendborgrampen 10,Aarhus C,8000,"Aarhus Municipality,Central Denmark Region",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2158,Öxneholm A/S,Søndre Mellemvej 48,Roskilde,4000,"Roskilde Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
1243,"Øster Hornum Slagtehus, v/Heinrich Zimmermann",Nibevej 128,Støvring,9530,"Rebild Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
6147,All Food ApS,Falstervej 3,Nyborg,5800,"Nyborg Municipality,Region of Southern Denmark",Denmark,PM,CP,N,,CP - Cutting Plant,,
4975,"Allegårdens Fjerkræslagteri, slagteri",Melbyvej 34,Søndersø,5471,"Nordfyn Municipality,Region of Southern Denmark",Denmark,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
