InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
UK.CAED/EW_EA-5999.INSTALLATION,Laxfield Poultry Unit EPR/KP3334MD,United Kingdom,Laxfield,1.3739348,52.30795,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-07,,UK.CAED/EW_EA-5999.FACILITY
UK.CAED/EW_EA-6621.INSTALLATION,Leadenporch Farm - EPR/LP3738JH,United Kingdom,Banbury,-1.3089249,51.972202,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2018-01-23,,UK.CAED/EW_EA-6621.FACILITY
UK.CAED/EW_EA-5834.INSTALLATION,Leafield Poultry Farm - EPR/DP3637MB,United Kingdom,Quenington,-1.7776811,51.733332,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-07,,UK.CAED/EW_EA-5834.FACILITY
UK.CAED/EW_EA-6954.INSTALLATION,Leaze Farm EPR/JP3036DK,United Kingdom,Bulkington,-2.0685441,51.321265,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2016-11-30,,UK.CAED/EW_EA-6954.FACILITY
UK.CAED/EW_EA-16920.INSTALLATION,Ledbury Cider Mill EPR/LP3031VA,United Kingdom,Ledbury,-2.4432264,52.032013,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2019,2014-06-10,,UK.CAED/EW_EA-16920.FACILITY
UK.CAED/EW_EA-3204.INSTALLATION,Leeming Bar Ice Cream Factory EPR/BP4062IB/V011,United Kingdom,NORTHALLERTON,-1.5647558,54.30446,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2019,2005-03-17,,UK.CAED/EW_EA-3204.FACILITY
UK.CAED/EW_EA-3140.INSTALLATION,Leeming Bar Meat Processing Unit - EPR/VP3638HV,United Kingdom,Northallerton,-1.5650669,54.304102,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2019,2010-11-19,,UK.CAED/EW_EA-3140.FACILITY
UK.CAED/EW_EA-14645.INSTALLATION,Legbourne Grange Farm - EPR/JP3839CU,United Kingdom,LOUTH,0.070815859,53.346787,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a),functional,2019,2012-05-24,,UK.CAED/EW_EA-14645.FACILITY
UK.CAED/EW_EA-17769.INSTALLATION,Leigh Court Poultry Farm EPR/YP3932WM,United Kingdom,GLOUCESTER,-2.1981773,51.929287,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2015-09-18,,UK.CAED/EW_EA-17769.FACILITY
UK.CAED/P0339_10A.INSTALLATION,Leslie Gordon,United Kingdom,Ballymena,-6.193,54.909,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2010-01-01,https://appsd.daera-ni.gov.uk/ipri/,UK.CAED/P0339_10A.FACILITY
UK.SEPA/300001948.Installation,"Letham Poultry Farms, Leven, Fife",United Kingdom,"Leven, Fife",-3.00512,56.22654,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2007-05-09,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200001948.Facility
UK.CAED/EW_EA-14713.INSTALLATION,Leverton Farm - EPR/AP3832YM,United Kingdom,Leverton,0.11990508,53.01525,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2017-06-14,,UK.CAED/EW_EA-14713.FACILITY
UK.SEPA/300002371.Installation,"Ley Farm Composting Facility, Fordyce",United Kingdom,"Fordyce, Aberdeenshire",-2.78217,57.66014,6.5,Disposal or recycling of animal carcases or animal waste with a treatment capacity exceeding 10 tonnes per day,5(e),disused,2019,2009-07-07,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200002371.Facility
UK.CAED/EW_EA-10286.INSTALLATION,Leyland Food Factory - EPR/FP3538GY,United Kingdom,LEYLAND,-2.7236936,53.701514,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2019,2009-09-07,,UK.CAED/EW_EA-10286.FACILITY
UK.CAED/EW_EA-5405.INSTALLATION,Leys Poultry Farm - EPR/QP3231MA,United Kingdom,NEWMARKET,0.53041248,52.181209,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-07-27,,UK.CAED/EW_EA-5405.FACILITY
